from;to;strength
0;38;1
1;2;1
1;90;1
2;51;1
3;4;1
3;6;1
3;75;1
4;59;1
4;7;1
5;73;1
5;74;1
5;87;1
5;92;1
6;51;1
7;45;1
7;63;1
7;31;1
7;87;1
8;73;1
8;27;1
9;11;1
10;72;1
10;83;1
10;97;1
11;57;1
12;71;1
12;95;1
13;49;1
13;72;1
14;16;1
14;15;1
14;45;1
14;24;1
14;59;1
15;49;1
15;55;1
15;56;1
16;19;1
16;47;1
16;62;1
16;91;1
16;93;1
17;35;1
17;70;1
17;85;1
17;93;1
18;47;1
18;76;1
18;84;1
18;90;1
19;51;1
19;81;1
20;83;1
21;46;1
22;42;1
22;47;1
23;41;1
23;61;1
24;54;1
25;29;1
25;34;1
25;27;1
25;64;1
25;66;1
25;47;1
26;67;1
26;77;1
27;28;1
27;67;1
27;92;1
28;48;1
28;61;1
29;30;1
29;33;1
29;47;1
29;94;1
29;46;1
29;97;1
30;31;1
30;80;1
31;46;1
31;65;1
31;69;1
31;78;1
31;80;1
31;86;1
32;34;1
33;34;1
33;79;1
34;68;1
34;50;1
35;50;1
36;46;1
37;38;1
37;52;1
37;49;1
38;39;1
39;48;1
39;57;1
40;77;1
41;82;1
43;48;1
44;61;1
44;95;1
50;78;1
50;92;1
51;64;1
52;68;1
52;91;1
53;55;1
53;60;1
53;68;1
53;81;1
53;94;1
54;71;1
56;63;1
58;79;1
59;64;1
59;84;1
60;92;1
61;77;1
70;80;1
71;84;1
72;85;1
73;74;1
73;96;1
82;96;1
83;98;1
84;89;1
87;88;1
88;89;1
93;98;1
96;98;1
