x;y;z
0.20675687;0.56693393;0.15584673
0.20817971;0.6103551;0.21386586
0.56985235;0.01757666;0.113133565
0.6231459;0.04950497;0.06064973
0.54198253;0.069297954;0.17340429
0.17442864;0.63877136;0.15369429
0.211351;0.7185341;0.26954648
0.1065563;0.5481415;0.25371036
0.3049523;0.5084434;0.24106003
0.30255616;0.6666391;0.16745293
0.33576253;0.07775346;0.42390367
0.31827465;0.19127762;0.49596268
0.37061682;0.021114187;0.36025226
0.62127256;0.003168206;0.021113586
0.6313649;0.13118204;0.07120087
0.4068382;0.3131402;0.89155734
0.4690142;0.29510608;0.84127367
0.345393;0.3227983;0.84399766
0.488576;0.29445925;0.6314123
0.24576649;0.3633917;0.42335582
0.25802478;0.1515369;0.5771893
0.65619695;0.22503228;0.5938893
0.52329564;0.31059366;0.59454703
0.23684046;0.34627235;0.8166562
0.5983422;0.44304395;0.5639659
0.4466859;0.29362538;0.7452456
0.44818562;0.76906556;0.1781719
0.37458166;0.84870905;0.23438364
0.5576616;0.80570716;0.25832748
0.43422177;0.75888807;0.074510336
0.6584371;0.23562828;0.7214776
0.71323484;0.18756783;0.5531013
0.6892018;0.18225828;0.43814638
0.3078945;0.03619466;0.84406096
0.33775765;0.06714134;0.7981258
0.38370815;0.7551466;0.50159526
0.52886003;0.7433457;0.43911886
0.31121165;0.6828653;0.59430146
0.32940295;0.79527307;0.42605177
0.6486738;0.1698482;0.26920328
0.5761848;0.16875283;0.15929632
0.16811824;0.7604174;0.28676462
0.5929041;1.0;0.22577994
0.5618343;0.96681553;0.21946871
0.30517662;0.4452909;0.3703906
0.5545081;0.33484918;0.1779843
0.60343397;0.7105182;0.35881263
0.2615016;0.5781107;0.6538937
0.18587577;0.53748983;0.7497503
0.22613548;0.62627876;0.6658659
0.34593025;0.5572427;0.7183231
0.73026305;0.16823068;0.48350465
0.26553994;0.086240776;0.746022
0.33840305;0.0058063627;0.7870343
0.40360966;0.13352717;0.80105513
0.48253867;0.19894193;0.14481492
0.380487;0.22320043;0.16983093
0.36844262;0.7986694;0.04691851
0.16831666;0.45136568;0.8166259
0.25539812;0.2899783;0.3056777
0.3086126;0.25648335;0.6486226
0.6261522;0.6173138;0.30940297
0.2406218;0.1724525;0.6825657
0.45855513;0.50176615;0.7936883
0.43293375;0.4596196;0.76329696
0.61432725;0.13993716;0.0
0.19836043;0.33145615;0.8712423
0.73968905;0.23466957;0.7736465
0.30361357;0.25105506;0.22441024
0.34577453;0.8862788;0.091809295
0.7010558;0.1239628;0.037055597
0.20335624;0.25114444;0.7635425
0.5229442;0.9098455;0.21966483
0.4151732;0.92104965;0.17857867
0.80163354;0.23581381;0.79992676
0.8251976;0.27612993;0.8369757
0.80485773;0.20460911;0.84423995
0.39833057;0.9817745;0.18135247
0.28986475;0.80663025;0.3205226
0.10201047;0.45756698;0.81876296
0.8705895;0.27103415;0.8229934
0.6436227;0.642845;0.4395972
0.65913224;0.73493046;0.380771
0.46160758;0.7402698;0.026113687
0.6426249;0.5535352;0.5059859
0.036724746;0.5093931;0.25803855
0.0;0.48663422;0.2622231
0.058172446;0.62792665;0.21331431
0.30720717;0.91982037;0.05432353
0.47987247;0.011890816;0.22654448
0.419287;0.0;0.2947607
0.7368161;0.14600004;0.005906494
0.6179241;0.8126755;0.24224429
0.6139925;0.21375383;0.1540724
0.1491321;0.4884675;0.8698798
