x;y;z
0.044768907;0.40445495;0.4621515
0.08967154;0.38420147;0.43574372
0.6230746;0.36102948;0.06276721
0.62793803;0.29639316;0.061371673
0.6002222;0.40828457;0.109542884
0.6444095;0.37265176;0.028961785
0.034680877;0.35077545;0.3863398
0.08629928;0.4727163;0.38216642
0.21027482;0.35783428;0.42520115
0.116481304;0.4320056;0.4591485
0.09256713;0.3142164;0.5079644
0.15306552;0.25208905;0.25773168
0.14831056;0.37265784;0.2443526
0.17950885;0.17290674;0.2389194
0.23903446;0.24245551;0.30336642
0.07741192;0.27571183;0.27681395
0.34466627;0.16494991;0.27030006
0.54114175;0.282234;0.5121638
0.37474787;0.11913465;0.18785347
0.9817144;0.3464771;0.31305215
1.0;0.35143796;0.2919475
0.9438304;0.33488405;0.34134698
0.37782937;0.5923533;0.31921926
0.4237004;0.560219;0.36894888
0.45298326;0.5839635;0.2919186
0.26722953;0.5753675;0.30422032
0.7814233;0.16315106;0.33208725
0.7624002;0.2002598;0.30885056
0.70743763;0.26277503;0.13203038
0.54720354;0.27615497;0.034624297
0.5859593;0.391143;0.5589673
0.4874365;0.22472732;0.50597006
0.1749763;0.52508485;0.2907666
0.7144466;0.08836343;0.22837786
0.74872774;0.12335069;0.18459092
0.690279;0.114878744;0.28744033
0.0;0.3247073;0.3524904
0.032245625;0.30646488;0.3227689
0.1593614;0.13669543;0.21824175
0.15948924;0.14108257;0.32041666
0.28424457;0.14753127;0.16416267
0.8955013;0.34914285;0.42251337
0.88361037;0.31002438;0.37606582
0.9031231;0.3676281;0.45683533
0.52022344;0.52826184;0.12002001
0.47661784;0.5514127;0.14799973
0.55728656;0.47722828;0.11079925
0.93325603;0.2694208;0.43064797
0.8475184;0.24567905;0.34483498
0.8234852;0.4425757;0.3818854
0.6732466;0.45687398;0.42795062
0.7625824;0.19340861;0.18685576
0.6902773;0.15219565;0.35215017
0.37216815;0.41244945;0.113586195
0.34337765;0.4346481;0.056307748
0.38428956;0.25591555;0.07600788
0.36473855;0.36554417;0.45828265
0.43576518;0.5473922;0.19394924
0.47711417;0.40315542;0.42622882
0.43176267;0.43994948;0.47701567
0.5918117;0.21757607;0.33667517
0.5087342;0.23273017;0.69799405
0.4516823;0.20456533;0.6519834
0.5514412;0.27258298;0.70583075
0.72215265;0.50083303;0.38567936
0.71112776;0.5440752;0.38170135
0.5798161;0.58127636;0.33427858
0.46675873;0.63071066;0.29609355
0.5266817;0.48100093;0.5716687
0.518088;0.44793424;0.5433649
0.50795084;0.1799521;0.5050059
0.2186302;0.17920104;0.595434
0.31834158;0.16728118;0.60781217
0.14825562;0.23039275;0.5541899
0.87354213;0.21390763;0.33568424
0.35201243;0.3490694;0.5365304
0.8429526;0.4924339;0.37963703
0.85995126;0.5199115;0.37840527
0.2492208;0.28592214;0.3824972
0.81054497;0.18316662;0.16561764
0.5411692;0.0830474;0.30825204
0.51436;0.04182644;0.2651717
0.36855578;0.27845818;0.6002961
0.41632187;0.20710768;0.58223855
0.35699582;0.2946623;0.6401638
0.097550355;0.5626752;0.31893536
0.1172075;0.52111125;0.32884192
0.080352835;0.5895846;0.3180125
0.18492733;0.20773631;0.5118609
0.2637166;0.28558007;0.5431591
0.957074;0.24269618;0.46612296
0.96369636;0.22507375;0.48791885
0.59407914;0.3576421;0.6366898
0.5811755;0.3160014;0.6851275
0.47841045;0.06460902;0.21662673
0.32407415;0.45031497;0.020933852
0.31360713;0.45976695;0.0
0.32156494;0.2049422;0.095979184
0.41909844;0.48621368;0.49465832
0.068485804;0.30117935;0.5447627
0.45748463;0.26070312;0.041513555
0.39108086;0.17069003;0.11867594
0.76615196;0.18223706;0.13165376
0.5166491;0.0;0.26849294
0.41930127;0.06948384;0.19261755
